true_label,prediction,count
gym,none,20
software,none,18
mobile,none,15
streaming,none,14
insurance,none,11
music,none,10
none,gym,10
none,cloud,9
none,insurance,9
none,software,9
none,streaming,9
none,music,8
streaming,music,8
music,software,8
insurance,gym,8
music,insurance,7
none,mobile,7
streaming,gym,7
software,gym,7
cloud,streaming,7
cloud,none,7
streaming,software,7
gym,insurance,6
gym,software,6
streaming,cloud,6
software,cloud,6
mobile,insurance,6
music,gym,6
mobile,music,5
mobile,software,5
music,mobile,5
gym,cloud,5
gym,streaming,5
insurance,mobile,5
cloud,software,5
insurance,music,5
mobile,gym,5
insurance,streaming,5
insurance,software,5
software,streaming,5
software,music,5
music,cloud,4
software,mobile,4
streaming,mobile,4
gym,mobile,4
insurance,cloud,4
cloud,mobile,3
cloud,gym,3
mobile,streaming,2
cloud,music,2
gym,music,2
music,streaming,2
cloud,insurance,1
mobile,cloud,1
software,insurance,1
