client_id,p_cloud,p_gym,p_insurance,p_mobile,p_music,p_software,p_streaming,p_none,fold,predicted_next_recurring_merchant
C000001,0.0555575473113581,0.030526059290215346,0.140968477480036,0.15247395707569578,0.06626427035723426,0.021294979664999436,0.33413272344954237,0.1987819853709188,0,streaming
C000005,0.02675895343569346,0.14682083369915128,0.024820287407635783,0.3825527364938846,0.027993863495729278,0.12477476507112721,0.029129955454389567,0.23714860494238882,3,mobile
C000007,0.46537590724175454,0.022517938260175754,0.020436312025596093,0.01675053710284671,0.02079033835203268,0.053753204815736116,0.02160730064899096,0.3787684615528671,3,cloud
C000009,0.09713779679588072,0.02031650892732293,0.01906586127139233,0.019968967497606106,0.04172344573850745,0.22581040699700167,0.48949505373113433,0.08648195904115445,4,streaming
C000012,0.019142880588461107,0.029874426054780585,0.01721806982802511,0.019900866629804472,0.019815486244138432,0.7187739831332998,0.029264112211573694,0.1460101753099169,4,software
C000014,0.330023420679007,0.023234399436454622,0.022372070904238348,0.021748187468855384,0.02287915280540778,0.4685553574595531,0.02254167336811919,0.08864573787836458,2,software
C000015,0.026749218251580775,0.027448627554275476,0.05306253420971003,0.026846840925597627,0.029647273256815987,0.0285448410258273,0.028329144138336274,0.7793715206378565,3,none
C000016,0.02635138780999191,0.22097135879486185,0.56586788962042,0.025028134857534447,0.021552962759467453,0.025668206719932578,0.022661149122440546,0.09189891031535101,0,insurance
C000017,0.018909585123668922,0.021481948312226343,0.006439937129322598,0.12716324883430935,0.06500980038827694,0.02340268022319302,0.14981164209104098,0.5877811578979619,0,none
C000021,0.025663411110270595,0.025454731545373383,0.025196037444624935,0.12645002249169654,0.19377632522757876,0.17386522361354279,0.26976210384036464,0.15983214472654836,4,streaming
C000022,0.10234667560833496,0.01786402673359972,0.017153113749470515,0.017443150026297222,0.07666171529390146,0.49861254256359866,0.18908943083407598,0.08082934519072153,1,software
C000024,0.01916708805985621,0.41388778813122284,0.031250339117035314,0.033268354499461666,0.2024298841248937,0.042448779295868516,0.0794082151815888,0.17813955159007294,4,gym
C000025,0.6590912086428686,0.022955329714949388,0.024591098137091184,0.017812878498504915,0.023397590664327807,0.00919954483078634,0.024086219273869808,0.21886613023760199,1,cloud
C000026,0.011058987153510901,0.4372388663904903,0.03767307780531165,0.058318164616355445,0.011102206411257939,0.198097113747311,0.010536130939587928,0.23597545293617478,3,gym
C000027,0.01910623977798552,0.0070335601793990255,0.006947231024726969,0.39982048663229275,0.4066640069875582,0.04156149627986584,0.026867362310025397,0.09199961680814629,0,music
C000028,0.050416400157390226,0.20186117369491308,0.013687006010406573,0.013419554009528378,0.03287773660775117,0.3580601034480119,0.022750478125050877,0.3069275479469477,3,software
C000029,0.06037789752437338,0.018237389115928242,0.012041865021883823,0.07133443346073874,0.4410283554596127,0.0779893667584198,0.2248766100346138,0.09411408262442952,0,music
C000030,0.18611512490775411,0.03885930679024996,0.19922593095514785,0.03704591337874523,0.10445154270333437,0.04233239823795521,0.06457410628822148,0.32739567673859177,1,none
C000033,0.23781800026101724,0.024167198604139878,0.02273490123444124,0.022866409856559383,0.12379554903516213,0.02763957669079102,0.09013795934363016,0.450840404974259,3,none
C000035,0.02237512019860343,0.3267047915884941,0.039401163403998365,0.04397537267681745,0.19719428950967588,0.02096030693183497,0.05474281583245674,0.29464613985811905,2,gym
