feature,mean_absolute_raw_score_contribution
amount0_own_template_diversity__min,0.47429388917378895
amount0_own_mcc__min,0.28571564388684967
amount0_refund_ratio__mean,0.2575606805686544
amount0_amount_cv__max,0.22003666363910926
broad0_amount_cv__min,0.19985036329558312
broad0_own_template_diversity__mean,0.17090050904662632
amount0_refund_count__max,0.15970214537629332
amount0_refund_last_age__mean,0.15586607663747662
amount0_first_age__min,0.14289779425599844
client_currency_usd__min,0.13289774204201835
broad0_own_template_diversity_per_event__mean,0.1052698174884635
broad0_refund_last_age__mean,0.1000231473149924
client_type_refund__min,0.0985967030219568
broad0_refund_count__max,0.09583997712651607
amount0_normalized_price__max,0.09512829600928889
amount0_own_template_diversity_per_event__max,0.0914980870542733
amount0_fee_fraction__max,0.089195907632713
amount0_amount_cv__min,0.08663774127710817
amount0_first_age__mean,0.08604185374656188
amount0_refund_ratio__max,0.08017310517829652
amount0_linear_next__max,0.07723494813321967
amount0_overdue_ratio__max,0.07623541815096996
amount0_next_active__mean,0.07602760899426814
broad0_own_template_diversity__max,0.07374706975787207
broad0_refund_ratio__max,0.07192569131126474
amount0_gap_last__min,0.07085371106015478
broad0_price_support__mean,0.0692846614177699
client_first_age__min,0.06700736849107129
client_currency_eur__min,0.0664443050109645
client_mcc_6012__min,0.06308231891359693
amount0_amount_cv__mean,0.06250939968911137
amount0_refund_ratio__min,0.061555075200200204
amount0_next_recent__max,0.060851809670859826
client_currency_gbp__min,0.06055393561911504
client_type_card_payment__min,0.05943409300408836
amount0_gap_recent__min,0.05883424952872816
amount0_linear_residual__max,0.05663010812379663
broad0_next_active__min,0.05642909665766051
client_type_topup__min,0.05317816793513177
amount1_first_age__mean,0.0520573791546665
amount0_generic_fraction__max,0.05192461378991344
broad0_fee_mean__mean,0.050381761467124475
amount0_next_active__min,0.04934077819293285
client_currency_chf__min,0.04885486465734812
amount0_own_template_diversity_per_event__mean,0.047232791332709884
amount1_generic_fraction__max,0.04684338698694614
amount0_last_age__max,0.04679009396911545
amount0_own_template_diversity__mean,0.04662037788488689
client_total_count__min,0.04658951857136359
broad0_normalized_price__min,0.04598225431334462
amount0_gap_mad__min,0.04517438711973297
client_type_transfer__min,0.044796765699554666
broad0_next_active__mean,0.0438034310080336
amount0_next_recent__min,0.04377244813094198
client_direction_in__min,0.04356220977665848
amount0_next_recent__mean,0.04349449834226828
broad0_own_template_diversity__min,0.043470783701308066
amount0_gap_mad__max,0.04272075049762562
amount0_linear_next__min,0.04255334225672939
amount0_description_top_fraction__mean,0.04216215343749942
client_amount_mean__min,0.04191857515277957
amount1_first_age__max,0.04139590521059665
broad0_refund_ratio__mean,0.04102653034427017
client_last_age__min,0.04033813469683757
broad0_first_age__mean,0.04008033883901825
amount1_next_median__min,0.039835894227814736
client_amount_std__min,0.0397849414499692
amount0_refund_count90__max,0.039747330655466796
amount0_first_age__max,0.03918971415257814
amount0_span__min,0.03917969188375132
client_type_atm__min,0.03886174028625365
amount0_own_template_count__max,0.038776203508005064
broad0_first_age__min,0.03870288187568262
amount0_fee_mean__min,0.03827064355531059
amount0_amount_change__min,0.03784468658878928
client_count_60__min,0.037257403306612626
broad0_weekend_fraction__mean,0.03701686917087991
amount0_gap_cv__max,0.03682079755806798
amount0_normalized_price__mean,0.0364948969627099
client_mcc_5734__min,0.03619884019155732
broad0_amount_change__max,0.03565573341996161
amount0_fee_mean__mean,0.03561586684665799
amount0_count__min,0.035129386477676945
client_mcc_4111__min,0.03477590793310521
amount0_own_template_diversity__max,0.03408201411539665
amount0_gap_mad__mean,0.033582075076874524
amount0_fee_fraction__mean,0.032973677306242274
broad0_span__mean,0.03255623547883824
client_mcc_7011__min,0.03187199893452662
amount0_refund_last_age__min,0.03162785978273418
amount0_amount_change__max,0.03162636690199907
client_mcc_5732__min,0.03157472318761551
amount0_count__max,0.031559537849921014
amount0_hour_std__max,0.031447662468478875
client_mcc_5812__min,0.03127997516282839
amount0_gap_mean__max,0.031180384553094093
amount0_linear_residual__min,0.031153009661844155
amount0_normalized_price__min,0.030792761390801403
