feature,mean_abs_positive_margin_contribution
broad0_refund_ratio,0.20214156617664866
amount0_next_active_rank,0.19073660234970571
amount0_own_semantic_per_event,0.19053749839177117
broad0_own_template_diversity,0.18479271977434844
broad0_count_60,0.16344906597482659
amount0_last_age,0.1072793534696678
broad0_own_semantic_per_event,0.10522392694559804
amount0_own_template_diversity,0.09632551785572133
amount0_normalized_price,0.07408584201566216
broad0_own_semantic,0.0669406075851651
broad0_last_age,0.06647195505717053
is_none,0.06269170679333672
broad0_amount_mad,0.058650432683692036
amount0_span,0.057995640196251474
amount0_active_rank,0.0567915612023163
amount0_linear_residual,0.05528729899324959
amount0_overdue_ratio,0.05392223855469774
broad0_normalized_price,0.053563942687697874
amount0_first_age,0.0529903639390194
amount0_amount_cv,0.05248650122299131
broad0_amount_change,0.05166768080447257
broad0_refund_count90,0.05152534315482784
amount0_gap_mad,0.050989485642725575
amount0_next_median,0.05059861029851882
amount0_own_semantic,0.04879025343204797
broad0_amount_cv,0.04736754761869476
amount0_next_recent,0.0463261707237642
amount0_own_template_count_per_event,0.04615155527862454
broad0_own_template_diversity_per_event,0.04596224475395086
amount0_amount_mad,0.0450601168773139
amount0_gap_cv,0.04497311865317823
amount0_gap_median,0.04418268501035684
broad0_own_mcc,0.04268079764117424
broad0_next_active_rank,0.04146451878798717
broad0_refund_last_age,0.040489271701217605
amount0_gap_recent,0.04018988295899082
broad0_first_age,0.03985803990968627
broad0_description_top_fraction,0.039173760310949476
broad0_span,0.03902986705097764
amount0_gap_last,0.03779935427228159
broad0_own_mcc_per_event,0.03674841238300713
amount0_refund_ratio,0.034194943879419466
broad0_hour_std,0.03326606295756526
amount0_refund_last_age,0.03168456241636517
amount0_fee_mean,0.03148494608210952
amount0_other_semantic,0.03133740682456089
amount0_refund_count,0.03078981507437234
family_index,0.030437995857734386
broad0_fee_mean,0.029067230759002867
amount0_hour_std,0.027087045737264594
amount0_amount_cv_global_maximum,0.026872654387539628
broad0_linear_next,0.025696902995898045
broad0_gap_last,0.025206905253445554
amount0_linear_next,0.024486238868863346
amount0_count,0.023447351657343733
broad0_next_active,0.022037718456931806
amount0_fee_fraction,0.021970294062958376
amount0_gap_std,0.02170827344063058
broad0_amount_mean,0.02097945169598957
amount0_gap_mean,0.020972680028639216
broad0_count_30,0.020706226143696597
amount0_amount_change,0.018926192781566833
client_count_180,0.01830664888807233
client_type_refund,0.01829022937967221
broad0_weekend_fraction,0.018218737239911985
broad0_price_support,0.018169240236350536
amount0_next_active_global_mean,0.017815477340720236
amount0_next_active_global_minimum,0.017371512918340437
broad0_next_recent,0.017229585284603686
amount0_count_180,0.01694090904348403
amount1_amount_mean,0.016913205545085692
broad0_own_template_count_per_event,0.016871605644360518
amount0_linear_period,0.016101980216712063
amount0_last_age_global_maximum,0.016099761523101955
amount0_own_template_diversity_per_event,0.01574539348336627
broad0_amount_median,0.015612505070417232
client_count_90,0.015431672463784976
broad0_overdue_ratio,0.015428944015299203
amount0_weekend_fraction,0.015378453666831706
amount0_own_semantic_rank,0.015153458951469526
amount0_own_mcc_per_event,0.014558223296228407
amount0_amount_cv_global_mean,0.014534249355548996
amount0_description_top_fraction,0.014222317481748728
amount0_amount_median,0.014164274145437247
client_first_age,0.013841929412647714
amount0_last_age_global_mean,0.013593843819249534
amount0_next_active,0.013293760406781357
broad0_gap_recent,0.012739782176647762
amount0_own_mcc,0.012638099258004127
client_last_age,0.012619993424897941
amount1_own_mcc,0.012607980087331138
broad0_gap_std,0.011960096625722146
amount0_count_global_maximum,0.011565643888506338
amount0_amount_mean,0.011556592008615345
client_currency_chf,0.011337618735352595
amount0_amount_cv_global_minimum,0.011329946292020405
amount0_count_rank,0.011192443112527022
broad0_linear_period,0.011060207831480477
client_amount_std,0.010906882870788916
broad0_next_median,0.010887238208174948
amount0_period_rounded,0.01046758712796594
amount1_first_age,0.01027440834816208
client_mcc_4814,0.009909637628254257
amount0_last_age_global_minimum,0.009795937396161048
amount0_refund_count90,0.009767275779576206
client_count_30,0.009566408074315507
broad0_gap_mad,0.009558353547429822
amount1_own_template_diversity_per_event,0.0089846654619961
broad0_gap_median,0.008971022149807066
broad0_gap_cv,0.008947445097594715
client_amount_mean,0.008663137408755937
broad0_fee_fraction,0.008633590618890557
client_type_transfer,0.008631993022059834
broad0_count,0.00862867691410974
client_count_60,0.008496805278863094
client_currency_eur,0.008361873802942656
amount0_last_age_rank,0.008296150805874184
client_mcc_6300,0.008191381760498256
amount1_normalized_price,0.007819672552949828
broad0_refund_count30,0.007754241083779772
client_direction_in,0.007752568068268939
amount1_own_semantic,0.007637485697803694
amount0_count_global_mean,0.007447589841498177
amount1_own_mcc_per_event,0.006945784755128516
broad0_count_rank,0.0069170148888340055
client_currency_usd,0.006741310549256538
client_mcc_5732,0.006715380246710789
client_mcc_4111,0.00665220882669829
amount1_amount_cv,0.006478026826312024
broad0_next_active_global_mean,0.006463760639784368
client_type_p2p_transfer,0.006402271718365336
client_type_card_payment,0.00638961017164198
client_mcc_7011,0.006256265688436072
broad0_last_fee,0.006167702857782816
amount0_count_global_minimum,0.006022451912345241
client_mcc_5812,0.00578763439938616
amount1_description_top_fraction,0.00574178332073237
client_type_atm,0.00569394461418152
broad0_gap_mean,0.005651720002539642
client_mcc_6012,0.0055576950246192195
amount1_amount_median,0.0054664955634531
client_direction_out,0.005461131486165119
amount1_amount_change,0.0053892456344804916
broad0_generic_fraction,0.005379337181852465
client_total_count,0.00532738187435075
amount0_last_fee,0.005252217703814964
amount1_next_median,0.0051561830092975705
client_mcc_5912,0.004886579039823815
amount1_generic_fraction,0.004828948845971658
client_mcc_5734,0.004706794515579307
client_type_fee,0.004463616766257029
broad0_count_global_maximum,0.004366125482378555
client_currency_gbp,0.004180521987916874
broad0_count_90,0.004164819748973424
client_type_topup,0.0038683039947323633
broad0_own_template_count,0.003680342683063175
client_mcc_5411,0.003534358738843518
stream_count,0.0034516290497751977
amount0_count_60,0.003331559875510331
amount0_own_semantic_global_mean,0.003090961269118365
amount0_amount_cv_rank,0.0030587641007497083
amount1_last_age,0.0030254411163795182
client_mcc_7997,0.003020514174729619
amount0_own_template_count,0.002811455392739837
broad0_count_global_mean,0.0027972461231893274
broad0_refund_count,0.0027781697405268543
amount1_amount_mad,0.0025092219320844975
amount1_overdue_ratio,0.0024726558604368947
amount1_own_template_diversity,0.002407272568729317
amount0_own_semantic_global_minimum,0.0023758132284300818
broad0_next_active_global_minimum,0.002169593976540302
broad0_linear_residual,0.001997414108082632
broad0_count_180,0.0018938704433751762
amount0_own_semantic_global_maximum,0.0018575446501371308
amount1_span,0.0017869308921809417
broad0_active_rank,0.0017005104595405305
amount1_count_180,0.001644116377178486
amount0_generic_fraction,0.0016290260205268313
amount1_gap_mad,0.0014764768124542033
amount0_count_90,0.0014566875317329046
broad0_count_global_minimum,0.0013473911823803208
amount1_own_semantic_per_event,0.0012979322615449017
amount0_refund_count30,0.0012972220670468303
amount1_gap_last,0.0009872462208932848
amount1_next_recent,0.0009397988266187428
amount1_own_template_count,0.0008507112501525266
amount1_gap_std,0.0008131329823617523
broad0_period_rounded,0.0007778572731279036
amount1_other_semantic,0.0007746312139466312
amount1_gap_recent,0.0007143183730293077
amount1_gap_cv,0.0007008819249465235
amount1_linear_period,0.0006904106157892742
amount1_gap_median,0.0005777154849523548
amount1_linear_next,0.0005276158187813417
amount1_linear_residual,0.00041979963528366475
amount1_gap_mean,0.0003918238134589443
amount1_count_90,0.0003908388517477144
amount0_active_global_mean,0.0003412704357173815
amount1_own_template_count_per_event,0.0002932504957149632
amount0_count_30,0.00021366832507994558
broad0_refund_after_last,0.00020605243339710057
amount0_refund_after_last,0.00016034689616417494
amount1_count_60,0.00014183793420265538
client_mcc_6011,0.00013084375694717864
amount1_next_active,6.573592359457279e-05
broad0_active_global_maximum,5.041223284915149e-05
broad0_active_global_mean,4.884801320491769e-05
amount1_active,2.273977085357419e-06
amount0_price_support,0.0
broad0_other_semantic,0.0
amount1_count,0.0
broad0_active_global_minimum,0.0
amount1_period_rounded,0.0
amount1_count_30,0.0
amount0_next_active_global_maximum,0.0
amount0_active_global_minimum,0.0
amount0_active_global_maximum,0.0
amount0_active,0.0
amount1_price_support,0.0
broad0_active,0.0
broad0_next_active_global_maximum,0.0
