variant,view,macro_f1,accuracy,delta_vs_control,paired_low,paired_high,none_predictions,f1_cloud,f1_gym,f1_insurance,f1_mobile,f1_music,f1_software,f1_streaming,f1_none
control,original,0.6520029932002351,0.6815,0.0,0.0,0.0,572,0.6026666666666667,0.6208651399491094,0.6899766899766899,0.64,0.6069651741293532,0.63,0.6214442013129103,0.8041060735671514
control,valid_like,0.6308460116305127,0.662,0.0,0.0,0.0,617,0.6133333333333333,0.6086956521739131,0.6933962264150944,0.6216216216216216,0.56,0.5846153846153846,0.5825688073394495,0.7825370675453048
control,test_like,0.6144523851531114,0.6465,0.0,0.0,0.0,668,0.592,0.6157894736842106,0.6651376146788991,0.5901639344262295,0.544,0.5797872340425532,0.5714285714285714,0.7573122529644268
no_temporal,original,0.5723459695573984,0.613,-0.07965702364283678,-0.09886254396849095,-0.0597821810068879,566,0.5175202156334232,0.5665024630541872,0.5756097560975609,0.5670886075949367,0.51,0.5187032418952618,0.5374449339207048,0.7858985382631126
no_temporal,valid_like,0.5427513286819531,0.584,-0.0880946829485596,-0.1075473720928217,-0.06904662858011856,593,0.5145888594164456,0.5449871465295629,0.5609756097560976,0.5421994884910486,0.45408163265306123,0.4607594936708861,0.5131578947368421,0.7512605042016807
no_temporal,test_like,0.5291171785177244,0.5745,-0.08533520663538696,-0.10552820350464501,-0.06680049274905947,679,0.4696132596685083,0.5506493506493506,0.5378973105134475,0.5309278350515464,0.44266666666666665,0.48677248677248675,0.48243559718969553,0.731974921630094
no_refund,original,0.6117457236623208,0.644,-0.04025726953791431,-0.05596538910135587,-0.023800475469813964,566,0.5728900255754475,0.561038961038961,0.6359447004608295,0.5910290237467019,0.5569620253164557,0.5864661654135338,0.6123348017621145,0.7773000859845228
no_refund,valid_like,0.5906373297547411,0.621,-0.040208681875771535,-0.05724148180785004,-0.024297644809293202,597,0.5826771653543307,0.5604113110539846,0.6218097447795824,0.5947368421052631,0.506265664160401,0.5750636132315522,0.5404157043879908,0.7437185929648241
no_refund,test_like,0.5631294892906162,0.599,-0.051322895862495166,-0.06792919448937024,-0.034649710607847876,676,0.5343915343915344,0.5386666666666666,0.6146788990825688,0.5613079019073569,0.48467966573816157,0.539440203562341,0.5107398568019093,0.7211311861743912
cycle_state,original,0.6473009186329777,0.6775,-0.004702074567257464,-0.013325577576999491,0.004287360878116388,575,0.6026666666666667,0.6035805626598465,0.677570093457944,0.6472148541114059,0.6045340050377834,0.6108374384236454,0.6299559471365639,0.8020477815699659
cycle_state,valid_like,0.6276055571475786,0.6595,-0.0032404544829340853,-0.013642724441969404,0.006884677633090652,613,0.6091644204851752,0.5974683544303797,0.6915887850467289,0.6037735849056604,0.5482233502538071,0.592964824120603,0.5958429561200924,0.7818181818181819
cycle_state,test_like,0.6098674297061913,0.644,-0.004584955446920058,-0.014430851227520927,0.004714345781287372,668,0.5888594164456233,0.599483204134367,0.6636155606407322,0.5944444444444444,0.5464190981432361,0.5595854922279793,0.5644768856447688,0.7620553359683795
